Country,y,f,Total annual production (GWh),Source
AGO,2020.0,HFO,320.4722224786,Heavy Fuel Oil
AGO,2020.0,HYD,14787.638900719,Hydropower
AGO,2020.0,LFO,1136.0000009088,Light Fuel Oil
AGO,2020.0,NGA,119.27777787320001,Natural Gas
AGO,2020.0,SOL,17.277777791600002,Solar
AGO,2021.0,BIO,197.97222238060002,Biomass
AGO,2021.0,HFO,304.44444468800003,Heavy Fuel Oil
AGO,2021.0,HYD,15600.9166791474,Hydropower
AGO,2021.0,LFO,1074.8611119710001,Light Fuel Oil
AGO,2021.0,NGA,113.333333424,Natural Gas
AGO,2021.0,SOL,16.444444457600003,Solar
AGO,2022.0,BIO,197.97222238060002,Biomass
AGO,2022.0,HFO,288.41666689740003,Heavy Fuel Oil
AGO,2022.0,HYD,15600.9166791474,Hydropower
AGO,2022.0,Imports (COD),101.5000000812,Imports (COD)
AGO,2022.0,LFO,1022.8611119294001,Light Fuel Oil
AGO,2022.0,NGA,1437.6111122612,Natural Gas
AGO,2022.0,SOL,15.6111111236,Solar
AGO,2023.0,BIO,197.97222238060002,Biomass
AGO,2023.0,HFO,272.38888910680004,Heavy Fuel Oil
AGO,2023.0,HYD,15600.9166791474,Hydropower
AGO,2023.0,Imports (COD),1842.6666681408,Imports (COD)
AGO,2023.0,LFO,966.2777785508001,Light Fuel Oil
AGO,2023.0,NGA,1450.5277789382003,Natural Gas
AGO,2023.0,SOL,14.7777777896,Solar
AGO,2024.0,BIO,197.97222238060002,Biomass
AGO,2024.0,HFO,256.36111131620004,Heavy Fuel Oil
AGO,2024.0,HYD,24630.3055752598,Hydropower
AGO,2024.0,LFO,909.7222229500001,Light Fuel Oil
AGO,2024.0,NGA,95.41666674300001,Natural Gas
AGO,2024.0,SOL,13.944444455600001,Solar
AGO,2025.0,BIO,197.97222238060002,Biomass
AGO,2025.0,HFO,240.3333335256,Heavy Fuel Oil
AGO,2025.0,HYD,24630.3055752598,Hydropower
AGO,2025.0,LFO,853.1388895714,Light Fuel Oil
AGO,2025.0,NGA,504.94444484840005,Natural Gas
AGO,2025.0,SOL,13.083333343800001,Solar
AGO,2026.0,BIO,197.97222238060002,Biomass
AGO,2026.0,HFO,224.3333335128,Heavy Fuel Oil
AGO,2026.0,HYD,25946.250020757005,Hydropower
AGO,2026.0,LFO,792.9444450788001,Light Fuel Oil
AGO,2026.0,NGA,959.4722229898001,Natural Gas
AGO,2026.0,SOL,12.2500000098,Solar
AGO,2027.0,BIO,197.97222238060002,Biomass
AGO,2027.0,HFO,208.3055557222,Heavy Fuel Oil
AGO,2027.0,HYD,27488.777799768803,Hydropower
AGO,2027.0,LFO,736.3888894780001,Light Fuel Oil
AGO,2027.0,NGA,749.4444450440001,Natural Gas
AGO,2027.0,SOL,11.4166666758,Solar
AGO,2028.0,BIO,197.97222238060002,Biomass
AGO,2028.0,HFO,192.2777779316,Heavy Fuel Oil
AGO,2028.0,HYD,27984.805577943403,Hydropower
AGO,2028.0,Imports (COD),651.0833338542001,Imports (COD)
AGO,2028.0,LFO,678.8611116542,Light Fuel Oil
AGO,2028.0,NGA,2292.0000018336004,Natural Gas
AGO,2028.0,SOL,10.583333341800001,Solar
AGO,2029.0,BIO,197.97222238060002,Biomass
AGO,2029.0,HFO,176.250000141,Heavy Fuel Oil
AGO,2029.0,HYD,29493.000023594403,Hydropower
AGO,2029.0,Imports (COD),707.2500005658001,Imports (COD)
AGO,2029.0,LFO,622.3055560534,Light Fuel Oil
AGO,2029.0,NGA,2381.5277796830005,Natural Gas
AGO,2029.0,SOL,9.7500000078,Solar
AGO,2030.0,BIO,197.97222238060002,Biomass
AGO,2030.0,HFO,160.2222223504,Heavy Fuel Oil
AGO,2030.0,HYD,31200.000024959998,Hydropower
AGO,2030.0,Imports (COD),466.6388892622,Imports (COD)
AGO,2030.0,LFO,565.7222226748,Light Fuel Oil
AGO,2030.0,NGA,1871.0555570524,Natural Gas
AGO,2030.0,SOL,705.5277783422,Solar
BDI,2020.0,HYD,191.0000001528,Hydropower
BDI,2020.0,Imports (COD),175.00000014,Imports (COD)
BDI,2020.0,LFO,8.916666673800002,Light Fuel Oil
BDI,2020.0,SOL,7.138888894600001,Solar
